,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
0,1,60,3,65.0,8450,2,,5,4,4,5,3,20,7,7,5,5,7,5,2003,2003,5,7,3,3,4.0,196.0,4,3,4,5.0,4.0,2.0,7.0,706,2.0,0,150,856,5,5,1,5.0,856,854,0,1710,1,0,2,1,3,1,4,8,8,0,,6.0,2003.0,3.0,2,548,4.0,4.0,3,0,61,0,0,0,0,,,,0,2,2008,10,6,208500
1,2,20,3,80.0,9600,2,,5,4,4,2,3,1,8,7,5,8,6,8,1976,1976,5,7,9,9,2.0,0.0,3,3,5,5.0,4.0,5.0,6.0,978,2.0,0,284,1262,5,5,1,5.0,1262,0,0,1262,0,1,2,0,3,1,3,6,8,1,4.0,6.0,1976.0,3.0,2,460,4.0,4.0,3,298,0,0,0,0,0,,,,0,5,2007,10,6,181500
2,3,60,3,68.0,11250,2,,4,4,4,5,3,20,7,7,5,5,7,5,2001,2002,5,7,3,3,4.0,162.0,4,3,4,5.0,4.0,3.0,7.0,486,2.0,0,434,920,5,5,1,5.0,920,866,0,1786,1,0,2,1,3,1,4,6,8,1,4.0,6.0,2001.0,3.0,2,608,4.0,4.0,3,0,42,0,0,0,0,,,,0,9,2008,10,6,223500
3,4,70,3,60.0,9550,2,,4,4,4,4,3,19,7,7,5,5,7,5,1915,1970,5,7,2,Wd Shng,2.0,0.0,3,3,6,4.0,5.0,2.0,6.0,216,2.0,0,540,756,5,4,1,5.0,961,756,0,1717,1,0,1,0,3,1,4,7,8,1,5.0,2.0,1998.0,2.0,3,642,4.0,4.0,3,0,35,272,0,0,0,,,,0,2,2006,10,5,140000
4,5,60,3,84.0,14260,2,,4,4,4,2,3,12,7,7,5,5,8,5,2000,2000,5,7,3,3,4.0,350.0,4,3,4,5.0,4.0,4.0,7.0,655,2.0,0,490,1145,5,5,1,5.0,1145,1053,0,2198,1,0,2,1,4,1,4,9,8,1,4.0,6.0,2000.0,3.0,3,836,4.0,4.0,3,192,84,0,0,0,0,,,,0,12,2008,10,6,250000
5,6,50,3,85.0,14115,2,,4,4,4,5,3,14,7,7,5,7,5,5,1993,1995,5,7,3,3,2.0,0.0,3,3,1,5.0,4.0,2.0,7.0,732,2.0,0,64,796,5,5,1,5.0,796,566,0,1362,1,0,1,1,1,1,3,5,8,0,,6.0,1993.0,2.0,2,480,4.0,4.0,3,40,30,0,320,0,0,,4.0,3.0,700,10,2009,10,6,143000
6,7,20,3,75.0,10084,2,,5,4,4,5,3,4,7,7,5,8,8,5,2004,2005,5,7,3,3,1.0,186.0,4,3,4,6.0,4.0,4.0,7.0,1369,2.0,0,317,1686,5,5,1,5.0,1694,0,0,1694,1,0,2,0,3,1,4,7,8,1,5.0,6.0,2004.0,3.0,2,636,4.0,4.0,3,255,57,0,0,0,0,,,,0,8,2007,10,6,307000
7,8,60,3,,10382,2,,4,4,4,4,3,9,4,7,5,5,7,6,1973,1973,5,7,11,11,1.0,240.0,3,3,5,5.0,4.0,3.0,6.0,859,5.0,32,216,1107,5,5,1,5.0,1107,983,0,2090,1,0,2,1,3,1,3,7,8,2,4.0,6.0,1973.0,3.0,2,484,4.0,4.0,3,235,204,228,0,0,0,,,3.0,350,11,2009,10,6,200000
8,9,50,1,51.0,6120,2,,5,4,4,5,3,8,9,7,5,7,7,5,1931,1950,5,7,14,Wd Shng,2.0,0.0,3,3,6,4.0,4.0,2.0,2.0,0,2.0,0,952,952,5,4,1,3.0,1022,752,0,1774,0,0,2,0,2,2,3,8,7,2,4.0,2.0,1931.0,2.0,2,468,3.0,4.0,3,90,0,205,0,0,0,,,,0,4,2008,10,5,129900
9,10,190,3,50.0,7420,2,,5,4,4,4,3,22,9,9,2fmCon,6,5,6,1939,1950,5,7,9,9,2.0,0.0,3,3,6,4.0,4.0,2.0,7.0,851,2.0,0,140,991,5,5,1,5.0,1077,0,0,1077,1,0,1,0,2,2,3,5,8,2,4.0,6.0,1939.0,3.0,1,205,5.0,4.0,3,0,4,0,0,0,0,,,,0,1,2008,10,6,118000
10,11,20,3,70.0,11200,2,,5,4,4,5,3,6,7,7,5,8,5,5,1965,1965,3,7,11,11,2.0,0.0,3,3,5,4.0,4.0,2.0,4.0,906,2.0,0,134,1040,5,5,1,5.0,1040,0,0,1040,1,0,1,0,3,1,3,5,8,0,,2.0,1965.0,2.0,1,384,4.0,4.0,3,0,0,0,0,0,0,,,,0,2,2008,10,6,129500
11,12,60,3,85.0,11924,2,,4,4,4,5,3,10,7,7,5,5,9,5,2005,2006,3,7,1,Wd Shng,1.0,286.0,5,3,4,6.0,4.0,2.0,7.0,998,2.0,0,177,1175,5,5,1,5.0,1182,1142,0,2324,1,0,3,0,4,1,5,11,8,2,5.0,4.0,2005.0,4.0,3,736,4.0,4.0,3,147,21,0,0,0,0,,,,0,7,2006,7,1,345000
12,13,20,3,,12968,2,,3,4,4,5,3,6,7,7,5,8,5,6,1962,1962,3,7,11,7,2.0,0.0,3,3,5,4.0,4.0,2.0,6.0,737,2.0,0,175,912,5,3,1,5.0,912,0,0,912,1,0,1,0,2,1,3,4,8,0,,2.0,1962.0,2.0,1,352,4.0,4.0,3,140,0,0,0,176,0,,,,0,9,2008,10,6,144000
