Id,Url,Brand,Model,Region,Engine,Engine_volume,Power,Transmission,Drive_unit,Color,Mileage,Rudder,Generation,Equipment,Body,Price
0,https://rostov-na-donu.drom.ru/ford/f250/49128000.html,Ford,F250,Ростов-на-Дону,дизель,6.7,400,АКПП,4WD,красный,214000,левый,3 поколение,6.7TD AT 4x4 XL Regular Cab Long Box SRW,,2290000
1,https://gukovo.drom.ru/volkswagen/jetta/49067852.html,Volkswagen,Jetta,Гуково,бензин,1.4,147,АКПП,передний,белый,44000,левый,7 поколение,,седан,1650000
2,https://rostov-na-donu.drom.ru/hyundai/accent/48963314.html,Hyundai,Accent,Ростов-на-Дон,бензин,1.5,102,механика,передний,бежевый,299600,левый,2 поколение,,седан,310000
3,https://aksay.drom.ru/renault/logan/49076593.html,Renault,Logan,Аксай,бензин,1.4,75,механика,передний,синий,163000,левый,1 поколение,,седан,285000
4,https://rostov-na-donu.drom.ru/bmw/x1/48783090.html,BMW,X1,Ростов-на-Дон,бензин,2.0,150,АКПП,задний,синий,118000,левый,"1 поколение, рестайлинг",sDrive 18i AT,,1080000
5,https://novocherkassk.drom.ru/nissan/note/48926561.html,Nissan,Note,Новочеркасск,бензин,1.2,79,АКПП,передний,красный,74100,правый,"2 поколение, рестайлинг", 1.2 e-POWER Medalist,,1225000
6,https://rostov-na-donu.drom.ru/cheryexeed/vx/48939989.html,Exeed,VX,,бензин,2.0,249,робот,4WD,белый,новый автомобиль,левый,1 поколение,2.0 DCT AWD President,,4800000
7,https://rostov-na-donu.drom.ru/toyota/land_cruiser/48908358.html,Toyota,Land Cruiser,Ростов-на-Дону,бензин,4.5,215,АКПП,4WD,зеленый,320000,правый,"9 поколение, рестайлинг",,джип/suv 5 дв.,1050000
8,https://rostov-na-donu.drom.ru/kia/optima/48381578.html,Kia,Optima,,бензин,2.4,188,АКПП,передний,черный,128000,левый,"4 поколение, рестайлинг",,седан,1530000
9,https://rostov-na-donu.drom.ru/mazda/scrum/47857729.html,Mazda,Scrum,Ростов-на-Дон,бензин,0.7,49,автомат,4WD,белый,151000,правый,,,,669999
10,https://rostov-na-donu.drom.ru/daewoo/leganza/48862012.html,Daewoo,Leganza,Ростов-на-Дон,бензин,2.2,142,АКПП,передний,золотистый,170000,левый,1 поколение,2.2 AT,,125000
11,https://rostov-na-donu.drom.ru/daihatsu/move/48656904.html,Daihatsu,Move,Ростов-на-Дону,бензин,0.7,52,вариатор,передний,серебристый,150000,правый,5 поколение,660 L,,445000
12,https://rostov-na-donu.drom.ru/honda/freed/48792156.html,Honda,Freed,Ростов-на-Дону,бензин,1.5,131,вариатор,передний,желтый,62000,правый,2 поколение, 1.5 G Honda Sensing (7-Seater),,1365000
13,https://rostov-na-donu.drom.ru/honda/cr-v/48744192.html,Honda,CR-V,,бензин,2.0,150,вариатор,4WD,серый,21000,левый,5 поколение,,,2999999
14,https://rostov-na-donu.drom.ru/audi/a6/46888495.html,Audi,A6,Ростов-на-Дон,бензин,2.0,249,робот,4WD,белый,82000,левый,"4 поколение, рестайлинг",,седан,2499999
15,https://rostov-na-donu.drom.ru/subaru/forester/48767556.html,Subaru,Forester,Ростов-на-Дону,бензин,2.0,148,вариатор,4WD,серебристый,30000,правый,"4 поколение, рестайлинг",2.0i-L EyeSight 4WD,,1855000
16,https://moscow.drom.ru/mercedes-benz/gl-class/49140669.html,Mercedes-Benz,GL-Class,Москва,бензин,4.7,435,АКПП,4WD,синий,131134,левый,2 поколение,,,2399000
17,https://moscow.drom.ru/mercedes-benz/c-class/49140664.html,Mercedes-Benz,C-Class,Москва,бензин,1.6,156,АКПП,задний,белый,127121,левый,,,седан,1099000
18,https://omsk.drom.ru/renault/logan_stepway/47212388.html,Renault,Logan Stepway,Омск,бензин,1.6,113,механика,передний,серебристый,41000,левый,1 поколение,,,975000
19,https://moscow.drom.ru/lexus/is250/49140663.html,Lexus,IS250,Москва,бензин,2.5,208,АКПП,задний,белый,121600,левый,"2 поколение, 2 рестайлинг",,,1549000
20,https://moscow.drom.ru/lexus/is250/49140663.html,Lexus,IS250,Москва,бензин,2.5,208,АКПП,задний,белый,121600,левый,"2 поколение, 2 рестайлинг",,,1549000
21,https://zlatoust.drom.ru/lada/priora/49140662.html,Лада,Приора,Златоуст,бензин,1.6,98,механика,передний,зеленый,175632,левый,1 поколение,,седан,230000
22,https://arkadak.drom.ru/mercedes-benz/e-class/49140661.html,Mercedes-Benz,E-Class,Аркадак,бензин,2.0,136,механика,задний,черный,,левый,2 поколение,E 200 MТ Classic,седан,300000
23,https://moscow.drom.ru/kia/optima/49140660.html,Kia,Optima,Москва,бензин,2.0,245,АКПП,передний,черный,80322,левый,4 поколение,,седан,1899000
24,https://belgorod.drom.ru/ford/f250/47641514.html,Ford,F250,,дизель,6.7,320,автомат,4WD,белый,175000,левый,,,,3300000
25,https://simferopol.drom.ru/mazda/626/49140659.html,Mazda,626,,бензин,2.0,102,механика,передний,серый,280000,левый,"2 поколение, рестайлинг",,купе,130000
26,https://yalta.drom.ru/bmw/x1/48801541.html,BMW,X1,,дизель,2.0,150,автомат,передний,черный,68000,левый,,,,2600000
27,https://moscow.drom.ru/jeep/grand_cherokee/49140657.html,Jeep,Grand Cherokee,Москва,бензин,3.6,286,автомат,4WD,черный,160136,левый,,,,1349000
28,https://blagoveshchensk.drom.ru/nissan/patrol/46836484.html,Nissan,Patrol,,бензин,5.6,405,АКПП,4WD,белый,195000,левый,6 поколение,,джип/suv 5 дв.,2200000
29,https://tomsk.drom.ru/lexus/es350/48639798.html,Lexus,ES350,Томск,бензин,3.5,249,АКПП,передний,белый,39000,левый,7 поколение,3.5 AT Luxury,,4530000
30,https://moscow.drom.ru/audi/a8/49140656.html,Audi,A8,Москва,бензин,3.0,290,АКПП,4WD,черный,140226,левый,3 поколение,,,1199000
31,https://krasnodar.drom.ru/daewoo/nexia/49140654.html,Daewoo,Nexia,Краснодар,бензин,1.5,80,механика,передний,черный,55000,левый,"1 поколение, 2 рестайлинг",,седан,355000
32,https://moscow.drom.ru/audi/a6/49140651.html,Audi,A6,Москва,бензин,1.8,190,робот,передний,черный,110299,левый,"4 поколение, рестайлинг",,седан,1549000
33,https://yablonovskiy.drom.ru/nissan/teana/48927764.html,Nissan,Teana,Яблоновский,бензин,2.3,173,АКПП,передний,золотистый,187000,левый,"1 поколение, рестайлинг",2.3 AT Luxury,,550000
34,https://orenburg.drom.ru/mitsubishi/galant/49140649.html,Mitsubishi,Galant,Оренбург,бензин,2.4,158,АКПП,передний,бежевый,,левый,"9 поколение, 2 рестайлинг",,седан,450000
