Id,Url,Brand,Model,Year,EngineVolume,Power,Drive,Mileage,Price,Region,Engine,Transmission
93,https://nizhniy-novgorod.drom.ru/omoda/c5/49119311.html,1,1,2022,1.5,147,1,10.0,2960000,1,1,1
785,https://dzhankoy.drom.ru/opel/zafira/49035587.html,2,2,2001,2.0,100,1,450000.0,300000,2,2,2
788,https://grozniy.drom.ru/opel/astra/49032228.html,2,3,2004,1.6,94,1,250000.0,255199,3,1,2
875,https://nadterechnoe.drom.ru/opel/astra/49077419.html,2,3,2001,1.6,101,1,323000.0,175000,4,1,2
877,https://mutsalaul.drom.ru/opel/corsa/48331355.html,2,4,2004,1.2,75,1,106000.0,235000,5,1,3
927,https://valday.drom.ru/opel/corsa/48886032.html,2,4,2002,1.4,90,1,75500.0,210000,6,1,4
1006,https://noginsk.drom.ru/opel/zafira/48960341.html,2,2,2000,2.2,147,1,200000.0,345000,7,1,5
1011,https://troytsk-chelabinsk.drom.ru/opel/corsa/48256927.html,2,4,2001,1.2,75,1,215000.0,170000,8,1,3
1055,https://rostov-na-donu.drom.ru/opel/corsa/48679374.html,2,4,2003,1.2,75,1,100000.0,220000,9,1,3
1058,https://barnaul.drom.ru/opel/vectra/48680138.html,2,5,2003,1.8,122,1,223000.0,275000,10,1,2
1059,https://novokuznetsk.drom.ru/opel/astra/48336541.html,2,3,2003,1.6,101,1,221600.0,200000,11,1,2
1061,https://tomsk.drom.ru/opel/corsa/47983942.html,2,4,2004,1.4,90,1,190000.0,285000,12,1,3
1063,https://krasnodar.drom.ru/opel/zafira/46351737.html,2,2,2001,1.8,125,1,300000.0,355000,13,1,2
1064,https://perm.drom.ru/opel/astra/47874617.html,2,3,2000,1.7,75,1,150000.0,140000,14,2,2
1068,https://nizhniy-novgorod.drom.ru/opel/astra/48905444.html,2,3,2004,1.6,105,1,350000.0,90000,1,1,3
1069,https://obninsk.drom.ru/opel/corsa/47245284.html,2,4,2004,1.2,80,1,179000.0,299000,15,1,3
1070,https://omsk.drom.ru/opel/astra/48903040.html,2,3,2003,1.8,125,1,250000.0,190000,16,1,4
1073,https://magnitogorsk.drom.ru/opel/astra/48539356.html,2,3,2003,1.8,125,1,190000.0,160000,17,1,2
1074,https://krasnoyarsk.drom.ru/opel/vectra/48900515.html,2,5,2003,2.2,147,1,220000.0,275000,18,1,2
1075,https://perm.drom.ru/opel/astra/48554845.html,2,3,2004,1.4,90,1,276000.0,240000,14,1,2
1077,https://surgut.drom.ru/opel/vectra/48210562.html,2,5,2003,2.2,147,1,370000.0,190000,19,1,4
1078,https://sayanogorsk.drom.ru/opel/astra/48210383.html,2,3,2000,1.6,84,1,250000.0,198000,20,1,2
1079,https://kemerovo.drom.ru/opel/corsa/48206857.html,2,4,2000,1.4,90,1,236000.0,150000,21,1,4
1080,https://barnaul.drom.ru/opel/vectra/44152378.html,2,5,2001,2.2,125,1,250000.0,300000,10,2,2
1081,https://moscow.drom.ru/opel/astra/48895312.html,2,3,2004,1.8,125,1,246217.0,455000,22,1,4
1082,https://novosibirsk.drom.ru/opel/corsa/48685564.html,2,4,2003,1.2,75,1,202604.0,130000,23,1,3
1083,https://moscow.drom.ru/opel/astra/48892086.html,2,3,2003,1.6,84,1,241422.0,299000,22,1,2
1084,https://mihaylovsk-stavropol.drom.ru/opel/corsa/46320031.html,2,4,2003,1.2,80,1,180000.0,230000,24,1,3
1085,https://spb.drom.ru/opel/zafira/45237851.html,2,2,2000,1.6,101,1,218268.0,299900,25,1,2
1086,https://nizhniy-tagil.drom.ru/opel/astra/49003450.html,2,3,2002,1.6,100,1,313000.0,250000,26,1,4
1088,https://omsk.drom.ru/opel/astra/49001048.html,2,3,2003,1.6,100,1,150000.0,90000,16,1,2
1089,https://shushenskoe.drom.ru/opel/omega/48999016.html,2,6,2000,2.5,131,2,365000.0,295000,27,2,2
1090,https://smolensk.drom.ru/opel/astra/48790484.html,2,3,2001,1.6,103,1,290000.0,127000,28,1,2
1091,https://anapa.drom.ru/opel/zafira/48997498.html,2,2,2001,1.8,125,1,277000.0,360000,29,1,2
1093,https://osinniki.drom.ru/opel/vectra/48995601.html,2,5,2004,1.8,122,1,267000.0,280000,30,1,2
1094,https://barnaul.drom.ru/opel/astra/48994903.html,2,3,2004,1.6,105,1,292000.0,285000,10,1,3
1095,https://krasnodar.drom.ru/opel/vita/48661560.html,2,7,2003,1.2,75,1,250000.0,200000,13,1,4
1096,https://kemerovo.drom.ru/opel/corsa/48657478.html,2,4,2001,1.0,58,1,264604.0,165000,21,1,2
1097,https://chita.drom.ru/opel/omega/47963279.html,2,6,2000,2.2,144,2,195.0,215000,31,1,4
1098,https://9-yanvarya.drom.ru/opel/omega/47636958.html,2,6,2002,2.2,144,2,229000.0,200000,32,1,2
1099,https://moscow.drom.ru/opel/astra/47635217.html,2,3,2000,1.6,75,1,123456.0,165000,22,1,2
1100,https://moscow.drom.ru/opel/vectra/47633671.html,2,5,2003,2.2,147,1,330000.0,340000,22,1,2
1101,https://ekaterinburg.drom.ru/opel/vectra/47527062.html,2,5,2002,2.2,147,1,195000.0,325000,33,1,4
1102,https://tikhoretsk.drom.ru/opel/corsa/48991879.html,2,4,2002,1.2,75,1,178000.0,180000,34,1,3
1103,https://dzerzhinsk.drom.ru/opel/astra/48991080.html,2,3,2004,1.6,105,1,100000.0,200000,35,1,3
1104,https://yurga.drom.ru/opel/corsa/47964105.html,2,4,2000,1.2,65,1,260000.0,81000,36,1,2
1105,https://sevastopol.drom.ru/opel/corsa/48793658.html,2,4,2004,1.4,90,1,218000.0,275000,37,1,3
1106,https://anzhero-sudzhensk.drom.ru/opel/vectra/48931310.html,2,5,2004,2.2,155,1,216000.0,220000,38,1,2
1107,https://kurgan.drom.ru/opel/corsa/48591283.html,2,4,2004,1.0,60,1,200000.0,180000,39,1,2
1108,https://irkutsk.drom.ru/opel/astra/48244924.html,2,3,2000,1.8,116,1,300000.0,310000,40,1,4
1109,https://omsk.drom.ru/opel/vita/48242509.html,2,7,2001,1.4,90,1,260000.0,180000,16,1,4
1110,https://barnaul.drom.ru/opel/frontera/48240418.html,2,8,2000,2.2,136,3,230000.0,520000,10,1,2
1111,https://chelyabinsk.drom.ru/opel/astra/48236824.html,2,3,2004,1.6,105,1,137000.0,295000,41,1,3
1112,https://stavropol.drom.ru/opel/signum/47572406.html,2,9,2004,2.0,175,1,245000.0,450000,42,1,2
1113,https://tyumen.drom.ru/opel/agila/47204707.html,2,10,2003,1.2,75,1,326000.0,250000,43,1,2
1114,https://ekaterinburg.drom.ru/opel/astra/47177768.html,2,3,2002,1.6,100,1,340000.0,220000,33,1,2
1115,https://moscow.drom.ru/opel/corsa/48927526.html,2,4,2003,1.2,75,1,260500.0,190000,22,1,3
1116,https://spb.drom.ru/opel/astra/48926791.html,2,3,2000,1.6,75,1,338000.0,175000,25,1,2
1117,https://voronezh.drom.ru/opel/corsa/48925989.html,2,4,2002,1.2,75,1,181835.0,205000,44,1,2
1118,https://spb.drom.ru/opel/zafira/48924830.html,2,2,2000,2.0,82,1,330000.0,185000,25,2,2
1119,https://krasnoyarsk.drom.ru/opel/vectra/48924050.html,2,5,2003,1.8,122,1,290000.0,295000,18,1,2
1120,https://krasnodar.drom.ru/opel/corsa/48860900.html,2,4,2004,1.2,80,1,180000.0,185000,13,1,3
1121,https://chelyabinsk.drom.ru/opel/astra/48922676.html,2,3,2001,1.6,100,1,230000.0,210000,41,1,2
1122,https://danilov.drom.ru/opel/vectra/48922323.html,2,5,2000,2.0,100,1,357400.0,115000,45,2,2
1123,https://krasnodar.drom.ru/opel/corsa/48543585.html,2,4,2003,1.2,75,1,170000.0,240000,13,1,3
1124,https://kemerovo.drom.ru/opel/astra/48068586.html,2,3,2001,1.6,101,1,369000.0,150000,21,1,5
1125,https://astrahan.drom.ru/opel/astra/48581478.html,2,3,2003,1.6,101,1,236000.0,210000,46,1,2
1126,https://miasskoe.drom.ru/opel/astra/48228267.html,2,3,2004,1.4,90,1,317000.0,120000,47,1,2
1127,https://kiselevsk.drom.ru/opel/vectra/48225080.html,2,5,2004,2.2,147,1,220000.0,180000,48,1,2
1128,https://siverskiy.drom.ru/opel/astra/47225027.html,2,3,2000,1.6,101,1,350000.0,85000,49,1,2
1129,https://krasnodar.drom.ru/opel/omega/47222474.html,2,6,2002,3.0,150,2,360000.0,245000,13,2,5
1130,https://spb.drom.ru/opel/corsa/48917737.html,2,4,2003,1.2,75,1,180000.0,239900,25,1,2
1131,https://vidnoe.drom.ru/opel/vectra/48917707.html,2,5,2003,1.8,122,1,348651.0,275000,50,1,2
1132,https://rostov-na-donu.drom.ru/opel/astra/48914700.html,2,3,2004,1.4,75,1,190000.0,215000,9,1,2
1133,https://novosibirsk.drom.ru/opel/zafira/48913497.html,2,2,2004,1.8,125,1,173000.0,350000,23,1,4
1134,https://hasavyurt.drom.ru/opel/astra/48912307.html,2,3,2000,1.6,75,1,315000.0,170000,51,1,2
1135,https://irkutsk.drom.ru/opel/vectra/48912117.html,2,5,2004,2.2,155,1,225906.0,300000,40,1,4
1136,https://novosibirsk.drom.ru/opel/vectra/48911524.html,2,5,2001,1.8,122,1,148000.0,45000,23,1,4
1137,https://irkutsk.drom.ru/opel/astra/48911557.html,2,3,2003,1.8,125,1,248200.0,275000,40,1,4
1138,https://perm.drom.ru/opel/corsa/48571663.html,2,4,2003,1.2,75,1,260000.0,170000,14,1,3
1139,https://vladikavkaz.drom.ru/opel/zafira/48570052.html,2,2,2000,1.8,125,1,214000.0,300000,52,1,4
1140,https://vyshniy-volochek.drom.ru/opel/frontera/48220485.html,2,8,2000,2.2,136,3,337000.0,400000,53,1,2
1141,https://kovrov.drom.ru/opel/vectra/48218839.html,2,5,2004,2.2,155,1,250000.0,200000,54,1,2
1142,https://novosibirsk.drom.ru/opel/vectra/48216240.html,2,5,2004,1.6,100,1,278000.0,219000,23,1,2
1143,https://tomsk.drom.ru/opel/vectra/47877521.html,2,5,2004,1.8,122,1,230000.0,330000,12,1,2
1144,https://barnaul.drom.ru/opel/astra/48891769.html,2,3,2001,1.8,125,1,26569.0,220000,10,1,4
1145,https://novokuznetsk.drom.ru/opel/astra/48888921.html,2,3,2003,1.6,101,1,226000.0,320000,11,1,2
1146,https://bratsk.drom.ru/opel/astra/48888479.html,2,3,2000,1.8,115,1,260000.0,200000,55,1,5
1147,https://biysk.drom.ru/opel/astra/48888086.html,2,3,2003,1.6,84,1,150000.0,255000,56,1,2
1148,https://tyumen.drom.ru/opel/astra/48545299.html,2,3,2001,1.6,84,1,390795.0,200000,43,1,2
1149,https://rostov-na-donu.drom.ru/opel/vita/48536694.html,2,7,2002,1.2,75,1,172000.0,220000,9,1,4
1150,https://velikiy-novgorod.drom.ru/opel/vectra/48202694.html,2,5,2000,1.8,115,1,474742.0,165000,57,1,2
1151,https://moscow.drom.ru/opel/astra/47858383.html,2,3,2004,1.6,105,1,250000.0,275000,22,1,3
1152,https://krapivinskiy.drom.ru/opel/meriva/47519581.html,2,11,2003,1.8,125,1,297000.0,295000,58,1,2
1153,https://kemerovo.drom.ru/opel/vita/47190477.html,2,7,2001,1.4,90,1,230000.0,195000,21,1,4
1154,https://zelenokumsk.drom.ru/opel/astra/48887049.html,2,3,2002,1.8,125,1,285000.0,77000,59,1,2
1155,https://bolshie-kolpany.drom.ru/opel/vectra/48885776.html,2,5,2002,1.8,122,1,269200.0,230000,60,1,2
1156,https://gresovskiy.drom.ru/opel/astra/48883463.html,2,3,2004,1.8,125,1,250000.0,269000,61,1,2
1157,https://tyumen.drom.ru/opel/astra/48882078.html,2,3,2000,1.6,101,1,342200.0,180000,43,1,4
1158,https://novosibirsk.drom.ru/opel/vectra/48881757.html,2,5,2002,2.2,147,1,106078.0,230000,23,1,4
1160,https://yevpatoriya.drom.ru/opel/vectra/48191123.html,2,5,2003,2.2,147,1,225000.0,199000,62,1,2
1161,https://ekaterinburg.drom.ru/opel/astra/48189290.html,2,3,2003,1.4,90,1,300000.0,300000,33,1,2
