Id,Url,Brand,Model,Region,Year,Engine,EngineVolume,Power,Transmission,Drive,Body,Color,Mileage,Wheel,Generation,Complectation,IsSold,Price
0,https://rostov-na-donu.drom.ru/bmw/x6/48637646.html,BMW,X6,Ростов-на-Дону,2017,бензин,3.0,306,АКПП,4WD,,черный,51933,левый,2 поколение,xDrive 35i AT Prestige ,0,3990000
0,https://rostov-na-donu.drom.ru/bmw/x6/48637646.html,BMW,X6,Ростов-на-Дону,2017,бензин,3.0,306,АКПП,4WD,,черный,51933,левый,2 поколение,xDrive 35i AT Prestige ,0,3990000
1,https://rostov-na-donu.drom.ru/ford/f250/49128000.html,Ford,F250,Ростов-на-Дону,2010,дизель,6.7,400,АКПП,4WD,,красный,214000,левый,3 поколение,6.7TD AT 4x4 XL Regular Cab Long Box SRW,0,2290000
1,https://rostov-na-donu.drom.ru/ford/f250/49128000.html,Ford,F250,Ростов-на-Дону,2010,дизель,6.7,400,АКПП,4WD,,красный,214000,левый,3 поколение,6.7TD AT 4x4 XL Regular Cab Long Box SRW,0,2290000
2,https://gukovo.drom.ru/volkswagen/jetta/49067852.html,Volkswagen,Jetta,Гуково,2019,бензин,1.4,147,АКПП,передний,седан,белый,44000,левый,7 поколение,1.4 TSI Tiptronic R-Line,0,1650000
2,https://gukovo.drom.ru/volkswagen/jetta/49067852.html,Volkswagen,Jetta,Гуково,2019,бензин,1.4,147,АКПП,передний,седан,белый,44000,левый,7 поколение,1.4 TSI Tiptronic R-Line,0,1650000
3,https://rostov-na-donu.drom.ru/hyundai/accent/48963314.html,Hyundai,Accent,Ростов-на-Дону,2006,бензин,1.5,102,механика,передний,седан,бежевый,299600,левый,2 поколение,1.5 MT MT3,1,310000
3,https://rostov-na-donu.drom.ru/hyundai/accent/48963314.html,Hyundai,Accent,Ростов-на-Дону,2006,бензин,1.5,102,механика,передний,седан,бежевый,299600,левый,2 поколение,1.5 MT MT3,1,310000
4,https://aksay.drom.ru/renault/logan/49076593.html,Renault,Logan,Аксай,2006,бензин,1.4,75,механика,передний,седан,синий,163000,левый,1 поколение,,0,285000
4,https://aksay.drom.ru/renault/logan/49076593.html,Renault,Logan,Аксай,2006,бензин,1.4,75,механика,передний,седан,синий,163000,левый,1 поколение,,0,285000
5,https://rostov-na-donu.drom.ru/bmw/x1/48783090.html,BMW,X1,Ростов-на-Дону,2012,бензин,2.0,150,АКПП,задний,,синий,118000,левый,"1 поколение, рестайлинг",sDrive 18i AT,1,1080000
5,https://rostov-na-donu.drom.ru/bmw/x1/48783090.html,BMW,X1,Ростов-на-Дону,2012,бензин,2.0,150,АКПП,задний,,синий,118000,левый,"1 поколение, рестайлинг",sDrive 18i AT,1,1080000
6,https://novocherkassk.drom.ru/nissan/note/48926561.html,Nissan,Note,Новочеркасск,2017,бензин,1.2,79,АКПП,передний,,красный,74100,правый,"2 поколение, рестайлинг", 1.2 e-POWER Medalist,0,1225000
6,https://novocherkassk.drom.ru/nissan/note/48926561.html,Nissan,Note,Новочеркасск,2017,бензин,1.2,79,АКПП,передний,,красный,74100,правый,"2 поколение, рестайлинг", 1.2 e-POWER Medalist,0,1225000
7,https://rostov-na-donu.drom.ru/cheryexeed/vx/48939989.html,Exeed,VX,Ростов-на-Дону,2022,бензин,2.0,249,робот,4WD,,белый,новый автомобиль,левый,1 поколение,2.0 DCT AWD President,1,4800000
7,https://rostov-na-donu.drom.ru/cheryexeed/vx/48939989.html,Exeed,VX,Ростов-на-Дону,2022,бензин,2.0,249,робот,4WD,,белый,новый автомобиль,левый,1 поколение,2.0 DCT AWD President,1,4800000
8,https://rostov-na-donu.drom.ru/toyota/land_cruiser/48908358.html,Toyota,Land Cruiser,Ростов-на-Дону,1997,бензин,4.5,215,АКПП,4WD,джип/suv 5 дв.,зеленый,320000,правый,"9 поколение, рестайлинг",4.5 80 VX 4WD,0,1050000
8,https://rostov-na-donu.drom.ru/toyota/land_cruiser/48908358.html,Toyota,Land Cruiser,Ростов-на-Дону,1997,бензин,4.5,215,АКПП,4WD,джип/suv 5 дв.,зеленый,320000,правый,"9 поколение, рестайлинг",4.5 80 VX 4WD,0,1050000
9,https://rostov-na-donu.drom.ru/kia/optima/48381578.html,Kia,Optima,Ростов-на-Дону,2018,бензин,2.4,188,АКПП,передний,седан,черный,128000,левый,"4 поколение, рестайлинг",2.4 AT Prestige,0,1530000
9,https://rostov-na-donu.drom.ru/kia/optima/48381578.html,Kia,Optima,Ростов-на-Дону,2018,бензин,2.4,188,АКПП,передний,седан,черный,128000,левый,"4 поколение, рестайлинг",2.4 AT Prestige,0,1530000
10,https://rostov-na-donu.drom.ru/mazda/scrum/47857729.html,Mazda,Scrum,Ростов-на-Дону,2018,бензин,0.7,49,автомат,4WD,,белый,151000,правый,,,1,669999
10,https://rostov-na-donu.drom.ru/mazda/scrum/47857729.html,Mazda,Scrum,Ростов-на-Дону,2018,бензин,0.7,49,автомат,4WD,,белый,151000,правый,,,1,669999
11,https://rostov-na-donu.drom.ru/daewoo/leganza/48862012.html,Daewoo,Leganza,Ростов-на-Дону,2000,бензин,2.2,142,АКПП,передний,,золотистый,170000,левый,1 поколение,2.2 AT,1,125000
11,https://rostov-na-donu.drom.ru/daewoo/leganza/48862012.html,Daewoo,Leganza,Ростов-на-Дону,2000,бензин,2.2,142,АКПП,передний,,золотистый,170000,левый,1 поколение,2.2 AT,1,125000
12,https://rostov-na-donu.drom.ru/daihatsu/move/48656904.html,Daihatsu,Move,Ростов-на-Дону,2012,бензин,0.7,52,вариатор,передний,,серебристый,150000,правый,5 поколение,660 L,0,445000
12,https://rostov-na-donu.drom.ru/daihatsu/move/48656904.html,Daihatsu,Move,Ростов-на-Дону,2012,бензин,0.7,52,вариатор,передний,,серебристый,150000,правый,5 поколение,660 L,0,445000
13,https://rostov-na-donu.drom.ru/honda/freed/48792156.html,Honda,Freed,Ростов-на-Дону,2018,бензин,1.5,131,вариатор,передний,,желтый,62000,правый,2 поколение, 1.5 G Honda Sensing (7-Seater),0,1365000
13,https://rostov-na-donu.drom.ru/honda/freed/48792156.html,Honda,Freed,Ростов-на-Дону,2018,бензин,1.5,131,вариатор,передний,,желтый,62000,правый,2 поколение, 1.5 G Honda Sensing (7-Seater),0,1365000
14,https://rostov-na-donu.drom.ru/honda/cr-v/48744192.html,Honda,CR-V,Ростов-на-Дону,2020,бензин,2.0,150,вариатор,4WD,,серый,21000,левый,5 поколение,,0,2999999
14,https://rostov-na-donu.drom.ru/honda/cr-v/48744192.html,Honda,CR-V,Ростов-на-Дону,2020,бензин,2.0,150,вариатор,4WD,,серый,21000,левый,5 поколение,,0,2999999
15,https://rostov-na-donu.drom.ru/audi/a6/46888495.html,Audi,A6,Ростов-на-Дону,2016,бензин,2.0,249,робот,4WD,седан,белый,82000,левый,"4 поколение, рестайлинг",,1,2499999
15,https://rostov-na-donu.drom.ru/audi/a6/46888495.html,Audi,A6,Ростов-на-Дону,2016,бензин,2.0,249,робот,4WD,седан,белый,82000,левый,"4 поколение, рестайлинг",,1,2499999
16,https://rostov-na-donu.drom.ru/subaru/forester/48767556.html,Subaru,Forester,Ростов-на-Дону,2017,бензин,2.0,148,вариатор,4WD,,серебристый,30000,правый,"4 поколение, рестайлинг",2.0i-L EyeSight 4WD,0,1855000
16,https://rostov-na-donu.drom.ru/subaru/forester/48767556.html,Subaru,Forester,Ростов-на-Дону,2017,бензин,2.0,148,вариатор,4WD,,серебристый,30000,правый,"4 поколение, рестайлинг",2.0i-L EyeSight 4WD,0,1855000
17,https://moscow.drom.ru/nissan/x-trail/49147429.html,Nissan,X-Trail,Москва,2017,бензин,2.5,171,вариатор,4WD,,синий,130339,левый,3 поколение,,0,1785000
17,https://moscow.drom.ru/nissan/x-trail/49147429.html,Nissan,X-Trail,Москва,2017,бензин,2.5,171,вариатор,4WD,,синий,130339,левый,3 поколение,,0,1785000
18,https://moscow.drom.ru/kia/rio/49147426.html,Kia,Rio,Москва,2021,бензин,1.6,123,АКПП,передний,седан,серый,49456,левый,"4 поколение, рестайлинг",,0,1428000
18,https://moscow.drom.ru/kia/rio/49147426.html,Kia,Rio,Москва,2021,бензин,1.6,123,АКПП,передний,седан,серый,49456,левый,"4 поколение, рестайлинг",,0,1428000
19,https://omsk.drom.ru/mercedes-benz/e-class/46352178.html,Mercedes-Benz,E-Class,Омск,2020,дизель,2.0,194,АКПП,4WD,седан,черный,54000,левый,"5 поколение, рестайлинг",E 220 d 4MATIC Sport,0,4500000
19,https://omsk.drom.ru/mercedes-benz/e-class/46352178.html,Mercedes-Benz,E-Class,Омск,2020,дизель,2.0,194,АКПП,4WD,седан,черный,54000,левый,"5 поколение, рестайлинг",E 220 d 4MATIC Sport,0,4500000
20,https://rostov-na-donu.drom.ru/bmw/x6/48637646.html,BMW,X6,Ростов-на-Дону,2017,бензин,3.0,306,АКПП,4WD,,черный,51933,левый,2 поколение,xDrive 35i AT Prestige ,0,3990000
20,https://rostov-na-donu.drom.ru/bmw/x6/48637646.html,BMW,X6,Ростов-на-Дону,2017,бензин,3.0,306,АКПП,4WD,,черный,51933,левый,2 поколение,xDrive 35i AT Prestige ,0,3990000
21,https://rostov-na-donu.drom.ru/ford/f250/49128000.html,Ford,F250,Ростов-на-Дону,2010,дизель,6.7,400,АКПП,4WD,,красный,214000,левый,3 поколение,6.7TD AT 4x4 XL Regular Cab Long Box SRW,0,2290000
21,https://rostov-na-donu.drom.ru/ford/f250/49128000.html,Ford,F250,Ростов-на-Дону,2010,дизель,6.7,400,АКПП,4WD,,красный,214000,левый,3 поколение,6.7TD AT 4x4 XL Regular Cab Long Box SRW,0,2290000
22,https://gukovo.drom.ru/volkswagen/jetta/49067852.html,Volkswagen,Jetta,Гуково,2019,бензин,1.4,147,АКПП,передний,седан,белый,44000,левый,7 поколение,1.4 TSI Tiptronic R-Line,0,1650000
22,https://gukovo.drom.ru/volkswagen/jetta/49067852.html,Volkswagen,Jetta,Гуково,2019,бензин,1.4,147,АКПП,передний,седан,белый,44000,левый,7 поколение,1.4 TSI Tiptronic R-Line,0,1650000
23,https://rostov-na-donu.drom.ru/hyundai/accent/48963314.html,Hyundai,Accent,Ростов-на-Дону,2006,бензин,1.5,102,механика,передний,седан,бежевый,299600,левый,2 поколение,1.5 MT MT3,1,310000
23,https://rostov-na-donu.drom.ru/hyundai/accent/48963314.html,Hyundai,Accent,Ростов-на-Дону,2006,бензин,1.5,102,механика,передний,седан,бежевый,299600,левый,2 поколение,1.5 MT MT3,1,310000
24,https://aksay.drom.ru/renault/logan/49076593.html,Renault,Logan,Аксай,2006,бензин,1.4,75,механика,передний,седан,синий,163000,левый,1 поколение,,0,285000
24,https://aksay.drom.ru/renault/logan/49076593.html,Renault,Logan,Аксай,2006,бензин,1.4,75,механика,передний,седан,синий,163000,левый,1 поколение,,0,285000
25,https://rostov-na-donu.drom.ru/bmw/x1/48783090.html,BMW,X1,Ростов-на-Дону,2012,бензин,2.0,150,АКПП,задний,,синий,118000,левый,"1 поколение, рестайлинг",sDrive 18i AT,1,1080000
25,https://rostov-na-donu.drom.ru/bmw/x1/48783090.html,BMW,X1,Ростов-на-Дону,2012,бензин,2.0,150,АКПП,задний,,синий,118000,левый,"1 поколение, рестайлинг",sDrive 18i AT,1,1080000
26,https://novocherkassk.drom.ru/nissan/note/48926561.html,Nissan,Note,Новочеркасск,2017,бензин,1.2,79,АКПП,передний,,красный,74100,правый,"2 поколение, рестайлинг", 1.2 e-POWER Medalist,0,1225000
