Id,Url,Brand,Model,Region,Year,Engine,EngineVolume,Power,Transmission,Drive,Body,Color,Mileage,Wheel,Generation,Complectation,IsSold,Price
0,https://rostov-na-donu.drom.ru/ford/f250/49128000.html,,,,,,,,,,,,,,,,,
1,https://gukovo.drom.ru/volkswagen/jetta/49067852.html,,,,,,,,,,,,,,,,,
2,https://rostov-na-donu.drom.ru/hyundai/accent/48963314.html,,,,,,,,,,,,,,,,,
3,https://aksay.drom.ru/renault/logan/49076593.html,,,,,,,,,,,,,,,,,
4,https://rostov-na-donu.drom.ru/bmw/x1/48783090.html,,,,,,,,,,,,,,,,,
5,https://novocherkassk.drom.ru/nissan/note/48926561.html,Nissan,Note,Новочеркасск,2017,бензин,1.2,79,АКПП,передний,,красный,74100,правый,"2 поколение, рестайлинг", 1.2 e-POWER Medalist,0,1225000
6,https://rostov-na-donu.drom.ru/cheryexeed/vx/48939989.html,Exeed,VX,Ростов-на-Дону,2022,бензин,2.0,249,робот,4WD,,белый,новый автомобиль,левый,1 поколение,2.0 DCT AWD President,1,4800000
7,https://rostov-na-donu.drom.ru/toyota/land_cruiser/48908358.html,Toyota,Land Cruiser,Ростов-на-Дону,1997,бензин,4.5,215,АКПП,4WD,джип/suv 5 дв.,зеленый,320000,правый,"9 поколение, рестайлинг",4.5 80 VX 4WD,0,1050000
8,https://rostov-na-donu.drom.ru/kia/optima/48381578.html,Kia,Optima,Ростов-на-Дону,2018,бензин,2.4,188,АКПП,передний,седан,черный,128000,левый,"4 поколение, рестайлинг",2.4 AT Prestige,0,1530000
9,https://rostov-na-donu.drom.ru/mazda/scrum/47857729.html,Mazda,Scrum,Ростов-на-Дону,2018,бензин,0.7,49,автомат,4WD,,белый,151000,правый,,,1,669999
10,https://rostov-na-donu.drom.ru/daewoo/leganza/48862012.html,Daewoo,Leganza,Ростов-на-Дону,2000,бензин,2.2,142,АКПП,передний,,золотистый,170000,левый,1 поколение,2.2 AT,1,125000
11,https://rostov-na-donu.drom.ru/daihatsu/move/48656904.html,Daihatsu,Move,Ростов-на-Дону,2012,бензин,0.7,52,вариатор,передний,,серебристый,150000,правый,5 поколение,660 L,0,445000
12,https://rostov-na-donu.drom.ru/honda/freed/48792156.html,Honda,Freed,Ростов-на-Дону,2018,бензин,1.5,131,вариатор,передний,,желтый,62000,правый,2 поколение, 1.5 G Honda Sensing (7-Seater),0,1365000
13,https://rostov-na-donu.drom.ru/honda/cr-v/48744192.html,Honda,CR-V,Ростов-на-Дону,2020,бензин,2.0,150,вариатор,4WD,,серый,21000,левый,5 поколение,,0,2999999
14,https://rostov-na-donu.drom.ru/audi/a6/46888495.html,Audi,A6,Ростов-на-Дону,2016,бензин,2.0,249,робот,4WD,седан,белый,82000,левый,"4 поколение, рестайлинг",,1,2499999
15,https://rostov-na-donu.drom.ru/subaru/forester/48767556.html,Subaru,Forester,Ростов-на-Дону,2017,бензин,2.0,148,вариатор,4WD,,серебристый,30000,правый,"4 поколение, рестайлинг",2.0i-L EyeSight 4WD,0,1855000
16,https://moscow.drom.ru/mercedes-benz/gl-class/49140669.html,Mercedes-Benz,GL-Class,Москва,2013,бензин,4.7,435,АКПП,4WD,,синий,131134,левый,2 поколение,,0,2399000
17,https://moscow.drom.ru/mercedes-benz/c-class/49140664.html,Mercedes-Benz,C-Class,Москва,2013,бензин,1.6,156,АКПП,задний,седан,белый,127121,левый,,,0,1099000
18,https://omsk.drom.ru/renault/logan_stepway/47212388.html,Renault,Logan Stepway,Омск,2019,бензин,1.6,113,механика,передний,,серебристый,41000,левый,1 поколение,,0,975000
19,https://moscow.drom.ru/lexus/is250/49140663.html,Lexus,IS250,Москва,2012,бензин,2.5,208,АКПП,задний,,белый,121600,левый,"2 поколение, 2 рестайлинг",,0,1549000
19,https://moscow.drom.ru/lexus/is250/49140663.html,Lexus,IS250,Москва,2012,бензин,2.5,208,АКПП,задний,,белый,121600,левый,"2 поколение, 2 рестайлинг",,0,1549000
20,https://moscow.drom.ru/lexus/is250/49140663.html,Lexus,IS250,Москва,2012,бензин,2.5,208,АКПП,задний,,белый,121600,левый,"2 поколение, 2 рестайлинг",,0,1549000
20,https://moscow.drom.ru/lexus/is250/49140663.html,Lexus,IS250,Москва,2012,бензин,2.5,208,АКПП,задний,,белый,121600,левый,"2 поколение, 2 рестайлинг",,0,1549000
21,https://zlatoust.drom.ru/lada/priora/49140662.html,Лада,Приора,Златоуст,2010,бензин,1.6,98,механика,передний,седан,зеленый,175632,левый,1 поколение,1.6 MT Люкс 21703-02-018,0,230000
22,https://arkadak.drom.ru/mercedes-benz/e-class/49140661.html,Mercedes-Benz,E-Class,Аркадак,1995,бензин,2.0,136,механика,задний,седан,черный,,левый,2 поколение,E 200 MТ Classic,0,300000
23,https://moscow.drom.ru/kia/optima/49140660.html,Kia,Optima,Москва,2018,бензин,2.0,245,АКПП,передний,седан,черный,80322,левый,4 поколение,,0,1899000
24,https://belgorod.drom.ru/ford/f250/47641514.html,Ford,F250,Белгород,2012,дизель,6.7,320,автомат,4WD,,белый,175000,левый,,,0,3300000
25,https://simferopol.drom.ru/mazda/626/49140659.html,Mazda,626,Симферополь,1985,бензин,2.0,102,механика,передний,купе,серый,280000,левый,"2 поколение, рестайлинг",2.0 MT GLX,0,130000
26,https://yalta.drom.ru/bmw/x1/48801541.html,BMW,X1,Ялта,2018,дизель,2.0,150,автомат,передний,,черный,68000,левый,,,0,2600000
27,https://moscow.drom.ru/jeep/grand_cherokee/49140657.html,Jeep,Grand Cherokee,Москва,2012,бензин,3.6,286,автомат,4WD,,черный,160136,левый,,,0,1349000
28,https://blagoveshchensk.drom.ru/nissan/patrol/46836484.html,Nissan,Patrol,Благовещенск,2010,бензин,5.6,405,АКПП,4WD,джип/suv 5 дв.,белый,195000,левый,6 поколение,5.6 AT 4WD Top,0,2200000
29,https://tomsk.drom.ru/lexus/es350/48639798.html,Lexus,ES350,Томск,2018,бензин,3.5,249,АКПП,передний,,белый,39000,левый,7 поколение,3.5 AT Luxury,0,4530000
30,https://moscow.drom.ru/audi/a8/49140656.html,Audi,A8,Москва,2012,бензин,3.0,290,АКПП,4WD,,черный,140226,левый,3 поколение,,0,1199000
31,https://krasnodar.drom.ru/daewoo/nexia/49140654.html,Daewoo,Nexia,Краснодар,2011,бензин,1.5,80,механика,передний,седан,черный,55000,левый,"1 поколение, 2 рестайлинг",,0,355000
32,https://moscow.drom.ru/audi/a6/49140651.html,Audi,A6,Москва,2015,бензин,1.8,190,робот,передний,седан,черный,110299,левый,"4 поколение, рестайлинг",,0,1549000
33,https://yablonovskiy.drom.ru/nissan/teana/48927764.html,Nissan,Teana,Яблоновский,2006,бензин,2.3,173,АКПП,передний,,золотистый,187000,левый,"1 поколение, рестайлинг",2.3 AT Luxury,0,550000
34,https://orenburg.drom.ru/mitsubishi/galant/49140649.html,Mitsubishi,Galant,Оренбург,2008,бензин,2.4,158,АКПП,передний,седан,бежевый,,левый,"9 поколение, 2 рестайлинг",,0,450000
35,https://surgut.drom.ru/hyundai/solaris/46701912.html,Hyundai,Solaris,Сургут,2014,бензин,1.6,123,АКПП,передний,хэтчбек 5 дв.,оранжевый,120000,левый,"1 поколение, рестайлинг",1.6 AT Elegance,0,850000
36,https://yakutsk.drom.ru/lada/2106/46745207.html,Лада,2106,Якутск,1996,бензин,1.6,75,механика,задний,,зеленый,85000,левый,1 поколение,,0,80000
37,https://habarovsk.drom.ru/nissan/qashqai/46906940.html,Nissan,Qashqai,Хабаровск,2009,бензин,2.0,141,вариатор,4WD,,красный,156000,левый,1 поколение,,0,765000
38,https://ekaterinburg.drom.ru/lada/2109/49140646.html,Лада,2109,Екатеринбург,2002,бензин,1.5,78,механика,передний,,зеленый,,левый,"1 поколение, рестайлинг",,0,50000
39,https://krasnoyarsk.drom.ru/hyundai/starex/48496038.html,Hyundai,Starex,Красноярск,2006,дизель,2.5,145,механика,задний,,серый,396000,левый,"1 поколение, рестайлинг",2.5 CRDI MT Base Long (12 seats),0,575000
40,https://korenovsk.drom.ru/chevrolet/cruze/48798619.html,Chevrolet,Cruze,Кореновск,2014,бензин,1.6,109,механика,передний,седан,черный,87816,левый,"1 поколение, рестайлинг",,0,820000
41,https://feodosiya.drom.ru/nissan/murano/49140644.html,Nissan,Murano,Феодосия,2016,бензин,3.5,249,вариатор,передний,джип/suv 5 дв.,белый,53000,левый,3 поколение,3.5 CVT Mid,1,2100000
42,https://krasnoyarsk.drom.ru/nissan/qashqai/49140630.html,Nissan,Qashqai,Красноярск,2010,бензин,2.0,141,вариатор,4WD,,серый,108000,левый,"1 поколение, рестайлинг",2.0 CVT 4WD SE+ ,0,1000000
43,https://azov.drom.ru/mitsubishi/colt/49140643.html,Mitsubishi,Colt,Азов,2006,бензин,1.3,95,робот,передний,хэтчбек 5 дв.,черный,239000,левый,6 поколение,1.3 MPI AMT,0,245000
44,https://tyumen.drom.ru/land_rover/range_rover_sport/48160240.html,Land Rover,Range Rover Sport,Тюмень,2007,бензин,4.2,390,АКПП,4WD,,черный,300000,левый,1 поколение,4.2 AT Supercharged,0,1450000
45,https://krasnodar.drom.ru/citroen/c4/49140642.html,Citroen,C4,Краснодар,2014,бензин,1.6,120,АКПП,передний,седан,белый,90000,левый,2 поколение,1.6 AT Lounge,0,699000
46,https://bratsk.drom.ru/lexus/rx300/48380018.html,Lexus,RX300,Братск,2019,бензин,2.0,238,АКПП,4WD,,синий,37000,левый,4 поколение,2.0t AT AWD F Sport Executive,0,5000000
47,https://izhevsk.drom.ru/lada/priora/49140640.html,Лада,Приора,Ижевск,2008,бензин,1.6,98,механика,передний,седан,зеленый,175000,левый,1 поколение,,0,205000
48,https://krasnoyarsk.drom.ru/honda/fit/48237468.html,Honda,Fit,Красноярск,2013,бензин,1.3,99,вариатор,передний,,белый,94094,правый,"2 поколение, 2 рестайлинг",,0,755000
49,https://krasnoyarsk.drom.ru/honda/fit/48251855.html,Honda,Fit,Красноярск,2010,бензин,1.3,100,вариатор,передний,,серый,96383,правый,2 поколение,,0,720000
50,https://krasnoyarsk.drom.ru/honda/fit/48356199.html,Honda,Fit,Красноярск,2009,бензин,1.3,100,вариатор,передний,,голубой,52396,правый,2 поколение,,0,695000
51,https://krasnoyarsk.drom.ru/honda/fit/48720680.html,Honda,Fit,Красноярск,2010,бензин,1.3,100,вариатор,передний,,серый,168846,правый,2 поколение,,0,573000
52,https://krasnoyarsk.drom.ru/nissan/note/48973692.html,Nissan,Note,Красноярск,2013,бензин,1.2,98,вариатор,передний,,серый,84818,правый,2 поколение,,0,737000
53,https://habarovsk.drom.ru/toyota/c-hr/49140604.html,Toyota,C-HR,Хабаровск,2019,бензин,1.8,98,вариатор,передний,,красный,23500,правый,"1 поколение, рестайлинг",Hybrid 1.8 G,0,2150000
54,https://sochi.drom.ru/lada/2107/49140305.html,Лада,2107,Сочи,2001,бензин,1.6,74,механика,задний,,белый,90000,,1 поколение,1.6 MT 21074-30-013 Стандарт,0,69000
55,https://tyumen.drom.ru/toyota/land_cruiser_prado/48129965.html,Toyota,Land Cruiser Prado,Тюмень,2021,бензин,2.7,163,АКПП,4WD,джип/suv 5 дв.,черный,1000,левый,"4 поколение, 2 рестайлинг",2.7 AT Престиж,0,5550000
56,https://omsk.drom.ru/kia/picanto/49140639.html,Kia,Picanto,Омск,2009,бензин,1.1,65,АКПП,передний,хэтчбек 5 дв.,голубой,82000,левый,"1 поколение, рестайлинг",1.1 AT Комфорт,0,420000
57,https://shebekino.drom.ru/lada/2110/49140638.html,Лада,2110,Шебекино,2003,бензин,1.5,78,механика,передний,,серебристый,220009,,1 поколение,1.5i MT 21102,0,105000
58,https://surgut.drom.ru/haval/f7x/49140637.html,Haval,F7x,Сургут,2021,бензин,2.0,190,робот,4WD,,черный,15000,левый,1 поколение,2.0 4WD SAT Elite,0,2600000
59,https://kirov.drom.ru/renault/duster/49140636.html,Renault,Duster,Киров,2020,бензин,2.0,143,механика,4WD,,белый,34137,левый,,,0,1580000
59,https://kirov.drom.ru/renault/duster/49140636.html,Renault,Duster,Киров,2020,бензин,2.0,143,механика,4WD,,белый,34137,левый,,,0,1580000
60,https://kirov.drom.ru/renault/duster/49140636.html,Renault,Duster,Киров,2020,бензин,2.0,143,механика,4WD,,белый,34137,левый,,,0,1580000
60,https://kirov.drom.ru/renault/duster/49140636.html,Renault,Duster,Киров,2020,бензин,2.0,143,механика,4WD,,белый,34137,левый,,,0,1580000
61,https://irkutsk.drom.ru/toyota/corolla_fielder/49140632.html,Toyota,Corolla Fielder,Иркутск,2017,бензин,1.5,74,вариатор,передний,,белый,187000,правый,"3 поколение, рестайлинг", 1.5 Hybrid,0,995000
62,https://spb.drom.ru/toyota/avensis/49140635.html,Toyota,Avensis,Санкт-Петербург,2008,бензин,1.8,129,механика,передний,седан,серебристый,175000,левый,"2 поколение, рестайлинг",1.8 MT Sol,0,610000
63,https://krasnoyarsk.drom.ru/peugeot/308/49080969.html,Peugeot,308,Красноярск,2010,бензин,1.6,120,АКПП,передний,хэтчбек 5 дв.,красный,150000,левый,1 поколение,1.6 VTi AT Premium Pack,0,398000
64,https://moscow.drom.ru/bmw/5-series/49140633.html,BMW,5-Series,Москва,2017,дизель,3.0,249,АКПП,4WD,седан,черный,147849,левый,7 поколение,,0,3245000
65,https://novokuznetsk.drom.ru/mazda/demio/49140631.html,Mazda,Demio,Новокузнецк,2011,бензин,1.3,91,АКПП,передний,,черный,216000,правый,"3 поколение, рестайлинг",1.3 13C,0,400000
66,https://nyagan.drom.ru/bmw/6-series/49084373.html,BMW,6-Series,Нягань,2005,бензин,4.4,333,АКПП,задний,купе,черный,24000,левый,2 поколение,645Ci AT,0,1000000
67,https://rostov-na-donu.drom.ru/lada/2107/49140629.html,Лада,2107,Ростов-на-Дону,2004,бензин,1.6,76,механика,задний,,бордовый,60000,,1 поколение,1.6 MT 21074,1,85000
68,https://anzhero-sudzhensk.drom.ru/kia/k5/48519931.html,Kia,K5,Анжеро-Судженск,2021,бензин,2.5,194,АКПП,передний,,серый,43000,левый,5 поколение,2.5 GDI AT GT Line+,0,2729000
69,https://krasnoyarsk.drom.ru/infiniti/q50/46134080.html,Infiniti,Q50,Красноярск,2017,бензин,2.0,211,АКПП,задний,,черный,40000,левый,"4 поколение, рестайлинг",2.0 Pure,0,2300000
70,https://berdsk.drom.ru/nissan/teana/48963284.html,Nissan,Teana,Бердск,2011,бензин,3.5,249,вариатор,передний,,черный,183000,левый,2 поколение,,0,1100000
71,https://moscow.drom.ru/dongfeng/580/48653091.html,Dongfeng,580,Москва,2021,бензин,1.5,145,вариатор,передний,,черный,,левый,"1 поколение, рестайлинг",1.5T CVT Luxury,0,2199000
72,https://tokarevka.drom.ru/lada/priora/49140627.html,Лада,Приора,Токаревка,2010,бензин,1.6,98,механика,передний,седан,зеленый,287000,левый,1 поколение,1.6 MT Норма 21703-01-010,0,220000
73,https://armyansk.drom.ru/volkswagen/golf/49140626.html,Volkswagen,Golf,Армянск,2007,бензин,1.6,102,механика,передний,хэтчбек 5 дв.,серебристый,229000,левый,5 поколение,,0,565000
74,https://krasnoyarsk.drom.ru/audi/q7/45938875.html,Audi,Q7,Красноярск,2015,дизель,3.0,249,АКПП,4WD,,коричневый,200500,левый,2 поколение,3.0 45 TDI quattro tiptronic,0,3700000
75,https://omsk.drom.ru/daewoo/gentra/48165745.html,Daewoo,Gentra,Омск,2013,бензин,1.5,107,механика,передний,седан,белый,91000,левый,2 поколение,1.5 MT 2WD Optimum,0,470000
76,https://tyumen.drom.ru/lada/2110/49140625.html,Лада,2110,Тюмень,2006,бензин,1.6,80,механика,передний,,бежевый,258000,,1 поколение,1.6i MT 21101,0,165000
77,https://omsk.drom.ru/hyundai/ix55/48387312.html,Hyundai,ix55,Омск,2010,дизель,3.0,239,АКПП,4WD,,синий,216000,левый,1 поколение,3.0D Family,0,1250000
78,https://stavropol.drom.ru/bmw/5-series/49140624.html,BMW,5-Series,Ставрополь,2017,бензин,2.0,249,АКПП,4WD,седан,белый,70000,левый,7 поколение,530i AT xDrive Luxury,0,3250000
79,https://krasnoyarsk.drom.ru/toyota/vitz/47366920.html,Toyota,Vitz,Красноярск,2009,бензин,1.0,71,вариатор,передний,хэтчбек 5 дв.,серебристый,56166,правый,"2 поколение, рестайлинг",,0,587000
80,https://krasnoyarsk.drom.ru/toyota/vitz/47433276.html,Toyota,Vitz,Красноярск,2011,бензин,1.0,69,вариатор,передний,хэтчбек 5 дв.,черный,78906,правый,3 поколение,,0,685000
81,https://abakan.drom.ru/bmw/x5/47661560.html,BMW,X5,Абакан,2000,бензин,4.4,286,АКПП,4WD,,синий,200000,левый,1 поколение,4.4i AT xDrive,0,333000
82,https://krasnoyarsk.drom.ru/toyota/vitz/48464533.html,Toyota,Vitz,Красноярск,2009,бензин,1.0,71,вариатор,передний,хэтчбек 5 дв.,черный,18360,правый,"2 поколение, рестайлинг",,0,617000
83,https://krasnoyarsk.drom.ru/toyota/prius/48508105.html,Toyota,Prius,Красноярск,2012,бензин,1.8,99,вариатор,передний,лифтбек,фиолетовый,114199,правый,"3 поколение, рестайлинг",,0,1115000
