Id,Url,Brand,Model,Year,EngineVolume,Power,Drive,Mileage,Price,Region,Engine,Transmission
0,https://rostov-na-donu.drom.ru/bmw/x6/48637646.html,BMW,X6,2017.0,3.0,306.0,4WD,51933,3990000.0,Ростов-на-Дону,бензин,АКПП
0,https://tomsk.drom.ru/acura/mdx/48988184.html,Acura,MDX,2014.0,3.5,290,4WD,98000,2350000,Томск,бензин,АКПП
0,https://noyabrsk.drom.ru/audi/a6_allroad_quattro/49119639.html,Audi,A6 allroad quattro,2001.0,2.7,250.0,4WD,288800,350000.0,Ноябрьск,бензин,АКПП
0,https://moscow.drom.ru/alfa_romeo/giulia/49099071.html,Alfa Romeo,Giulia,2019.0,2.0,280.0,4WD,46700,2285000.0,Москва,бензин,АКПП
1,https://novokuznetsk.drom.ru/audi/a3/48344396.html,Audi,A3,2001.0,1.6,102.0,передний,120000,292000.0,Новокузнецк,бензин,АКПП
1,https://chelyabinsk.drom.ru/alfa_romeo/stelvio/44072731.html,Alfa Romeo,Stelvio,2017.0,2.0,280.0,4WD,42000,2750000.0,Челябинск,бензин,АКПП
1,https://elizovo.drom.ru/acura/rdx/29860598.html,Acura,RDX,2007.0,2.3,240.0,4WD,200000.0,940000.0,Елизово,бензин,АКПП
1,https://rostov-na-donu.drom.ru/ford/f250/49128000.html,Ford,F250,2010.0,6.7,400.0,4WD,214000,2290000.0,Ростов-на-Дону,дизель,АКПП
2,https://neftekamsk-bash.drom.ru/audi/a4/49117452.html,Audi,A4,2001.0,1.8,150.0,4WD,245000,400000.0,Нефтекамск,бензин,АКПП
2,https://krasnoyarsk.drom.ru/alfa_romeo/156/44245522.html,Alfa Romeo,156,2001.0,2.0,150.0,передний,70000,230000.0,Красноярск,бензин,механика
2,https://magadan.drom.ru/acura/mdx/48299805.html,Acura,MDX,2015.0,3.5,290.0,4WD,150000.0,2890000.0,Магадан,бензин,АКПП
2,https://gukovo.drom.ru/volkswagen/jetta/49067852.html,Volkswagen,Jetta,2019.0,1.4,147.0,передний,44000,1650000.0,Гуково,бензин,АКПП
3,https://sevastopol.drom.ru/alfa_romeo/giulia/45926297.html,Alfa Romeo,Giulia,2017.0,2.0,200.0,задний,52000,2350000.0,Севастополь,бензин,АКПП
3,https://surgut.drom.ru/acura/rdx/47616406.html,Acura,RDX,2008.0,2.3,240.0,4WD,216500.0,1300000.0,Сургут,бензин,АКПП
3,https://rostov-na-donu.drom.ru/hyundai/accent/48963314.html,Hyundai,Accent,2006.0,1.5,102.0,передний,299600,310000.0,Ростов-на-Дону,бензин,механика
