Id,Url,Brand,Model,Year,EngineVolume,Power,Drive,Mileage,Price
0,https://saraktash.drom.ru/aro/24/44915077.html,Aro,24,1991,2.5,85,4WD,1500.0,220000
1,https://krasnoyarsk.drom.ru/aro/24/48185764.html,Aro,24,1991,2.5,100,4WD,90000.0,60000
2,https://shadrinsk.drom.ru/aro/24/47458072.html,Aro,24,1992,2.6,87,4WD,178000.0,100000
3,https://vologda.drom.ru/aro/24/42661773.html,Aro,24,1991,0.4,80,4WD,18585.0,185000
4,https://sharypovo.drom.ru/baw/007/46032443.html,BAW,Yusheng 007,2012,2.4,140,4WD,32200.0,700000
5,https://murmansk.drom.ru/baw/007/47325565.html,BAW,Yusheng 007,2007,3.3,95,задний,120000.0,80000
6,https://moscow.drom.ru/aston_martin/dbs/48076578.html,Aston Martin,DBS,2010,5.9,517,задний,8700.0,12500000
7,https://moscow.drom.ru/aston_martin/vantage/48426147.html,Aston Martin,Vantage,2007,4.3,385,задний,20000.0,5000000
8,https://spb.drom.ru/aston_martin/rapide/49086882.html,Aston Martin,Rapide,2016,5.9,560,задний,3800.0,19100000
9,https://moscow.drom.ru/aston_martin/db9/48260640.html,Aston Martin,DB9,2013,5.9,517,задний,46800.0,6350000
10,https://simferopol.drom.ru/aston_martin/db9/47909845.html,Aston Martin,DB9,2007,5.9,477,задний,24500.0,5400000
11,https://krasnodar.drom.ru/aston_martin/vantage/46816290.html,Aston Martin,Vantage,2017,4.7,436,задний,9600.0,7920000
12,https://vladivostok.drom.ru/aston_martin/db11/48236072.html,Aston Martin,DB11,2019,4.0,510,задний,5441.0,12800000
13,https://vladivostok.drom.ru/aston_martin/vantage/48852659.html,Aston Martin,Vantage,2022,4.0,510,задний,0.0,18000000
14,https://simferopol.drom.ru/dadi/smoothing/47340117.html,Dadi,Smoothing,2007,2.8,85,4WD,123000.0,280000
15,https://slavyansk-na-kubani.drom.ru/asia/rocsta/48745030.html,Asia,Rocsta,1992,2.0,115,4WD,50000.0,495000
18,https://sevastopol.drom.ru/asia/rocsta/48166302.html,Asia,Rocsta,1991,2.2,79,4WD,150000.0,360000
20,https://spb.drom.ru/buick/rendezvous/46615329.html,Buick,Rendezvous,2001,3.4,187,4WD,256000.0,399000
21,https://moscow.drom.ru/buick/encore/49149118.html,Buick,Encore,2021,1.4,155,4WD,6000.0,1300000
22,https://omsk.drom.ru/buick/encore/49142761.html,Buick,Encore,2014,1.4,138,4WD,130200.0,1250000
23,https://spb.drom.ru/buick/rendezvous/46460834.html,Buick,Rendezvous,2002,3.4,187,4WD,200000.0,324990
24,https://korolev.drom.ru/buick/encore/49088423.html,Buick,Encore,2017,1.4,143,передний,74500.0,1330000
25,https://novoagansk.drom.ru/buick/regal/48456182.html,Buick,Regal,2018,2.0,252,4WD,60000.0,1900000
26,https://krasnodar.drom.ru/buick/cascada/43434989.html,Buick,Cascada,2015,1.6,200,передний,108000.0,1790000
27,https://ekaterinburg.drom.ru/buick/regal/48444013.html,Buick,Regal,1992,3.1,153,передний,300000.0,1540000
